15.090: [GC [PSYoungGen: 13632K->64K(16384K)] 15370K->1802K(58688K), 0.0004400 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.128: [GC [PSYoungGen: 16384K->64K(16064K)] 18122K->1802K(58368K), 0.0003310 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.164: [GC [PSYoungGen: 16000K->64K(15616K)] 17738K->1802K(57920K), 0.0004580 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
15.199: [GC [PSYoungGen: 15616K->64K(15296K)] 17354K->1802K(57600K), 0.0003860 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.233: [GC [PSYoungGen: 15232K->64K(18304K)] 16970K->1802K(60608K), 0.0102290 secs] [Times: user=0.00 sys=0.02, real=0.01 secs] 
15.285: [GC [PSYoungGen: 18304K->64K(22016K)] 20042K->1802K(64320K), 0.0004340 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
15.334: [GC [PSYoungGen: 21952K->64K(26368K)] 23690K->1802K(68672K), 0.0004890 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.393: [GC [PSYoungGen: 26368K->32K(31744K)] 28106K->1770K(74048K), 0.0004060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.463: [GC [PSYoungGen: 31648K->64K(38016K)] 33386K->1802K(80320K), 0.0004070 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
15.548: [GC [PSYoungGen: 38016K->32K(45696K)] 39754K->1770K(88000K), 0.0007680 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.650: [GC [PSYoungGen: 45600K->64K(54784K)] 47338K->1802K(97088K), 0.0004450 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.772: [GC [PSYoungGen: 54784K->64K(65792K)] 56522K->1802K(108096K), 0.0004800 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
15.919: [GC [PSYoungGen: 65728K->64K(78912K)] 67466K->1802K(121216K), 0.0004690 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.095: [GC [PSYoungGen: 78912K->64K(75712K)] 80650K->1802K(118016K), 0.0004440 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
16.263: [GC [PSYoungGen: 75648K->32K(72576K)] 77386K->1770K(114880K), 0.0005940 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
16.426: [GC [PSYoungGen: 72544K->64K(69696K)] 74282K->1802K(112000K), 0.0004290 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.581: [GC [PSYoungGen: 69632K->64K(66816K)] 71370K->1802K(109120K), 0.0005060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.729: [GC [PSYoungGen: 66816K->64K(64192K)] 68554K->1802K(106496K), 0.0004150 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
16.872: [GC [PSYoungGen: 64128K->64K(61568K)] 65866K->1802K(103872K), 0.0003570 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
17.010: [GC [PSYoungGen: 61568K->96K(59200K)] 63306K->1834K(101504K), 0.0004650 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.142: [GC [PSYoungGen: 59168K->32K(56832K)] 60906K->1770K(99136K), 0.0005850 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
17.269: [GC [PSYoungGen: 56800K->64K(54720K)] 58538K->1802K(97024K), 0.0004690 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.390: [GC [PSYoungGen: 54656K->64K(52544K)] 56394K->1802K(94848K), 0.0004690 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
