27.714: [GC [PSYoungGen: 24672K->32K(24000K)] 26409K->1769K(66304K), 0.0014060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.828: [GC [PSYoungGen: 23968K->32K(23296K)] 25705K->1769K(65600K), 0.0004720 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
27.937: [GC [PSYoungGen: 23264K->32K(22656K)] 25001K->1769K(64960K), 0.0007800 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.043: [GC [PSYoungGen: 22624K->32K(22016K)] 24361K->1769K(64320K), 0.0003650 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.146: [GC [PSYoungGen: 21984K->32K(21440K)] 23721K->1769K(63744K), 0.0004590 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.247: [GC [PSYoungGen: 21408K->32K(20864K)] 23145K->1769K(63168K), 0.0004730 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.345: [GC [PSYoungGen: 20832K->32K(20288K)] 22569K->1769K(62592K), 0.0006400 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.488: [GC [PSYoungGen: 20256K->32K(19776K)] 21993K->1769K(62080K), 0.0004970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.603: [GC [PSYoungGen: 19744K->32K(19264K)] 21481K->1769K(61568K), 0.0004410 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.708: [GC [PSYoungGen: 19232K->32K(18752K)] 20969K->1769K(61056K), 0.0005140 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.814: [GC [PSYoungGen: 18720K->32K(18304K)] 20457K->1769K(60608K), 0.0005090 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.911: [GC [PSYoungGen: 18272K->32K(17856K)] 20009K->1769K(60160K), 0.0005480 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
29.006: [GC [PSYoungGen: 17824K->32K(17408K)] 19561K->1769K(59712K), 0.0004310 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.098: [GC [PSYoungGen: 17376K->32K(16960K)] 19113K->1769K(59264K), 0.0005650 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.188: [GC [PSYoungGen: 16928K->32K(16576K)] 18665K->1769K(58880K), 0.0004880 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.275: [GC [PSYoungGen: 16544K->32K(16192K)] 18281K->1769K(58496K), 0.0009290 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.361: [GC [PSYoungGen: 16160K->32K(15808K)] 17897K->1769K(58112K), 0.0006110 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
29.445: [GC [PSYoungGen: 15776K->32K(15424K)] 17513K->1769K(57728K), 0.0005330 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.526: [GC [PSYoungGen: 15392K->32K(15104K)] 17129K->1769K(57408K), 0.0005530 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.606: [GC [PSYoungGen: 15072K->32K(14784K)] 16809K->1769K(57088K), 0.0006270 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.685: [GC [PSYoungGen: 14752K->32K(14464K)] 16489K->1769K(56768K), 0.0007800 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.762: [GC [PSYoungGen: 14432K->32K(14144K)] 16169K->1769K(56448K), 0.0006330 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
29.837: [GC [PSYoungGen: 14112K->32K(13824K)] 15849K->1769K(56128K), 0.0008300 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
29.910: [GC [PSYoungGen: 13792K->32K(13568K)] 15529K->1769K(55872K), 0.0005220 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
